federal_state,year,establishments,employees,hours_worked_thousands,gross_wages_salaries_thousand_eur,total_turnover_thousand_eur,domestic_turnover_thousand_eur,foreign_turnover_thousand_eur,eurozone_turnover_thousand_eur,non_eurozone_turnover_thousand_eur
Baden-Württemberg,2019,4543,1201819,1749516,69778462,350952474,150534049,200418426,67849078,132569346
Baden-Württemberg,2020,4561,1168792,1596965,64600823,328910574,142481261,186429313,61411234,125018080
Baden-Württemberg,2021,4419,1147852,1652432,67064375,369765207,152917613,216847593,68697128,148150466
Baden-Württemberg,2022,4410,1160681,1668348,70425840,414981383,167039114,247942268,76690141,171252123
Baden-Württemberg,2023,4411,1177586,1697070,74595708,425762930,168987519,256775414,81982787,174792627
Baden-Württemberg,2024,4426,1175633,1674821,77395629,416483603,163609684,252873920,79678201,173195718
Baden-Württemberg,2025,4397,1149665,1635567,76861286,405387917,162034147,243353767,81514389,161839379
Bayern,2019,4058,1212155,1787040,68027099,364186050,160053561,204132486,71914078,132218410
Bayern,2020,4039,1187492,1663840,65036191,331592279,148037264,183555014,63208719,120346296
Bayern,2021,3967,1167770,1704187,65730072,360823983,158639766,202184218,67472327,134711889
Bayern,2022,3961,1180252,1710221,69631316,452701615,184377631,268323983,84448461,183875522
Bayern,2023,3986,1198268,1732234,73434646,481058245,193060810,287997436,91252954,196744482
Bayern,2024,3954,1194400,1711069,75739074,453830195,183424217,270405982,89893943,180512040
Bayern,2025,3914,1177883,1683461,74753260,465644185,186946993,278697194,93857558,184839634
Berlin,2019,329,78599,121025,4417904,24983668,10442137,14541532,4736237,9805294
Berlin,2020,334,72584,108588,3906228,25659108,10800828,14858279,5265106,9593172
Berlin,2021,317,70331,107296,3911212,26249499,10995910,15253590,4918375,10335214
Berlin,2022,318,71697,108522,4179333,39633469,21447182,18186288,5617228,12569056
Berlin,2023,325,73024,111496,4453018,35195313,17928282,17267030,5788718,11478311
Berlin,2024,331,74051,112028,4675441,34470219,17090618,17379600,5760051,11619550
Berlin,2025,334,74527,112862,4904558,34018275,16717430,17300844,5644649,11656197
Brandenburg,2019,443,82579,130201,3495611,24119460,16100961,8018502,3939727,4078775
Brandenburg,2020,442,80373,123093,3377151,22785426,16053641,6731782,3242960,3488822
Brandenburg,2021,426,79064,123830,3441145,24834172,17179356,7654816,3344394,4310422
Brandenburg,2022,426,83864,129811,3899418,33521422,21140895,12380524,6646526,5733998
Brandenburg,2023,432,87835,133852,4297078,37747042,20212123,17534919,11889121,5645799
Brandenburg,2024,435,87919,133350,4499021,36227866,18595537,17632329,11732539,5899789
Brandenburg,2025,424,84222,130560,4445330,33811590,16406968,17404623,10731828,6672795
Bremen,2019,145,46698,70441,2802866,33893750,11923120,21970630,7608399,14362230
Bremen,2020,154,45291,63873,2621184,26554085,9898726,16655360,6136344,10519017
Bremen,2021,141,43808,61617,2609153,26549957,9195449,17354505,6374651,10979856
Bremen,2022,138,43984,63284,2752460,34923816,10971145,23952669,8647236,15305437
Bremen,2023,134,43990,64547,2881971,36679012,12453311,24225704,9120169,15105535
Bremen,2024,134,44217,66223,3068128,34865524,10720227,24145299,8434920,15710379
Bremen,2025,130,43222,63775,3066418,37519042,11872102,25646941,8417549,17229392
Hamburg,2019,215,83041,129214,5676927,76725387,52264984,24460404,17535074,6925330
Hamburg,2020,219,83012,119273,5527491,61938945,42464965,19473979,13711373,5762608
Hamburg,2021,216,80395,119425,5533923,96669390,73860237,22809152,15210559,7598595
Hamburg,2022,224,82535,124553,5795835,140180360,106669906,33510457,20212865,13297590
Hamburg,2023,229,86770,131030,6349560,124832409,92542585,32289825,19214699,13075126
Hamburg,2024,226,89489,135483,6893800,126094312,89468441,36625870,23441464,13184405
Hamburg,2025,227,90051,136435,7000668,104050246,66347045,37703202,24991177,12712025
Hessen,2019,1406,371185,535587,20604908,117533540,51162935,66370605,26663302,39707302
Hessen,2020,1409,361844,494381,19550012,110301989,49548543,60753449,24306459,36446989
Hessen,2021,1356,355361,502981,20142103,122898023,54814159,68083864,27670552,40413315
Hessen,2022,1358,353916,505396,20766325,129457968,58712322,70745648,30356929,40388717
Hessen,2023,1357,349185,502632,21139256,129068026,57429388,71638637,30104082,41534552
Hessen,2024,1339,344360,491609,21662448,122750119,54494160,68255959,27874053,40381904
Hessen,2025,1306,334749,476072,21795361,124051642,53738862,70312777,27252062,43060717
Mecklenburg-Vorpommern,2019,313,52685,83356,1962171,13226327,8217218,5009110,3096364,1912745
Mecklenburg-Vorpommern,2020,325,53160,78725,1872097,13513132,8292590,5220543,2912112,2308430
Mecklenburg-Vorpommern,2021,307,51885,78197,1910645,15701628,8641695,7059930,3198335,3861596
Mecklenburg-Vorpommern,2022,306,50136,77250,1947382,15693672,9586880,6106792,3025460,3081332
Mecklenburg-Vorpommern,2023,303,49827,76905,2061567,18423989,9445356,8978636,5062073,3916563
Mecklenburg-Vorpommern,2024,285,49080,75267,2132607,21604100,9546541,12057559,5698546,6359013
Mecklenburg-Vorpommern,2025,280,48751,74587,2203511,21492547,11062607,10429941,5764821,4665121
Niedersachsen,2019,1984,514279,768048,27302562,208801597,106738658,102062939,43672496,58390445
Niedersachsen,2020,1994,506589,726304,26486323,186344665,97932978,88411686,37998721,50412963
Niedersachsen,2021,1929,505538,745007,26706589,201407987,104153589,97254398,42095069,55159328
Niedersachsen,2022,1926,508436,744791,27895558,229393077,120546718,108846358,46527156,62319202
Niedersachsen,2023,1921,511703,749023,29645886,235685248,121684739,114000510,49669140,64331369
